composite_figi,ticker,name,valid_from,valid_to
BBG000NDV1D4,TMUS,"T-Mobile US, Inc.",2013-05-01,
BBG000N9MNX3,TSLA,"Tesla, Inc. Common Stock",2010-06-30,
BBG000BVV7G1,TXN,Texas Instruments Incorporated,2003-09-10,
BBG000CH5208,UNH,UNITEDHEALTH GROUP INCORPORATED (Delaware),2003-09-10,
BBG000BW3299,UNP,Union Pacific Corp.,2003-09-10,
BBG000L9CV04,UPS,"United Parcel Service, Inc. Class B",2003-09-10,
BBG000FFDM15,USB,U.S. Bancorp,2003-09-10,
BBG000PSKYX7,V,VISA Inc.,2008-03-19,
BBG000HS77T5,VZ,Verizon Communications,2003-09-10,
BBG000BWQFY7,WFC,Wells Fargo & Co.,2003-09-10,
BBG000BWXBC2,WMT,Walmart Inc. Common Stock,2003-09-10,
BBG000GZQ728,XOM,Exxon Mobil Corporation,2003-09-10,
BBG000BDTBL9,SPY,State Street SPDR S&P 500 ETF Trust,2003-09-10,
BBG000BSWKH7,QQQ,"Invesco QQQ Trust, Series 1",2018-06-04,
BBG000CGC9C4,IWM,iShares Russell 2000 ETF,2003-09-10,
BBG000BTDS98,DIA,State Street SPDR Dow Jones Industrial Average ETF Trust,2010-03-02,
